Date-Time,CO
2013-03-01,1496.1565860215046
2013-04-01,933.1770833333335
2013-05-01,1129.1471774193549
2013-06-01,1513.4097222222224
2013-07-01,1148.9677419354837
2013-08-01,1027.5537634408604
2013-09-01,1286.3097222222225
2013-10-01,1285.215053763441
2013-11-01,1368.5416666666667
2013-12-01,1757.1908602150538
2014-01-01,1945.9005376344087
2014-02-01,2217.038690476191
2014-03-01,1488.4408602150536
2014-04-01,972.1527777777778
2014-05-01,830.3763440860213
2014-06-01,886.6666666666671
2014-07-01,1051.5456989247311
2014-08-01,955.1075268817206
2014-09-01,1168.5416666666667
2014-10-01,1425.9408602150538
2014-11-01,1672.1527777777778
2014-12-01,1689.9865591397847
2015-01-01,2005.510752688172
2015-02-01,1477.8273809523812
2015-03-01,1246.4381720430106
2015-04-01,839.0277777777777
2015-05-01,918.4811827956989
2015-06-01,1213.3333333333335
2015-07-01,914.2473118279571
2015-08-01,834.4086021505376
2015-09-01,877.1527777777778
2015-10-01,1003.5618279569892
2015-11-01,2047.7777777777776
2015-12-01,3206.854838709678
2016-01-01,1521.5053763440858
2016-02-01,899.7126436781609
