Date-Time,NO2
2013-03-01,76.71226075268818
2013-04-01,54.1015661111111
2013-05-01,59.24462365591397
2013-06-01,52.95439020833333
2013-07-01,40.8441619623656
2013-08-01,49.332021370967745
2013-09-01,69.67407805555557
2013-10-01,65.91687688172041
2013-11-01,60.7695042361111
2013-12-01,65.6140753360215
2014-01-01,67.33870967741936
2014-02-01,68.12499999999999
2014-03-01,68.32594086021506
2014-04-01,60.87430555555555
2014-05-01,55.729301075268815
2014-06-01,48.29444444444444
2014-07-01,44.56370967741937
2014-08-01,48.31989247311827
2014-09-01,57.55083333333334
2014-10-01,84.02486559139787
2014-11-01,79.54888888888891
2014-12-01,65.3366935483871
2015-01-01,76.9236559139785
2015-02-01,58.90327380952383
2015-03-01,63.53259408602151
2015-04-01,53.47638888888889
2015-05-01,45.518817204301094
2015-06-01,43.58888888888889
2015-07-01,41.18279569892473
2015-08-01,34.913978494623656
2015-09-01,50.43194444444443
2015-10-01,64.25672043010753
2015-11-01,69.60555555555555
2015-12-01,96.21236559139787
2016-01-01,60.651881720430104
2016-02-01,41.39870689655172
