Date-Time,O3
2013-03-01,58.7628185483871
2013-04-01,62.784066250000016
2013-05-01,83.51752634408601
2013-06-01,78.71124861111113
2013-07-01,82.96639220430106
2013-08-01,76.96744946236561
2013-09-01,46.84359277777776
2013-10-01,25.651621639784945
2013-11-01,22.24222416666667
2013-12-01,21.234345161290324
2014-01-01,20.94489247311828
2014-02-01,25.990327380952376
2014-03-01,46.33467741935484
2014-04-01,71.23749999999998
2014-05-01,96.30241935483872
2014-06-01,105.78680555555556
2014-07-01,106.81559139784946
2014-08-01,100.41196236559142
2014-09-01,56.05013888888888
2014-10-01,26.16532258064516
2014-11-01,23.535416666666666
2014-12-01,29.246639784946247
2015-01-01,24.97016129032258
2015-02-01,41.90252976190476
2015-03-01,49.487567204301065
2015-04-01,76.3736111111111
2015-05-01,97.05913978494624
2015-06-01,98.99583333333335
2015-07-01,106.98521505376347
2015-08-01,101.91733870967745
2015-09-01,62.082638888888894
2015-10-01,38.266801075268816
2015-11-01,17.19861111111111
2015-12-01,19.561827956989244
2016-01-01,34.69623655913979
2016-02-01,50.27873563218391
