Date-Time,PM10
2013-03-01,126.96370967741935
2013-04-01,96.97083333333333
2013-05-01,129.34408602150543
2013-06-01,107.38958333333332
2013-07-01,70.9590053763441
2013-08-01,74.57997311827958
2013-09-01,99.14791666666666
2013-10-01,111.10483870967741
2013-11-01,105.48819444444445
2013-12-01,115.21102150537635
2014-01-01,136.2641129032258
2014-02-01,167.16741071428564
2014-03-01,139.53360215053763
2014-04-01,142.30555555555557
2014-05-01,132.48185483870967
2014-06-01,86.58958333333334
2014-07-01,111.67782258064514
2014-08-01,87.7967741935484
2014-09-01,94.54152777777777
2014-10-01,169.08669354838713
2014-11-01,145.56694444444443
2014-12-01,116.25537634408603
2015-01-01,131.2849462365591
2015-02-01,124.57514880952382
2015-03-01,141.0684811827957
2015-04-01,114.9061111111111
2015-05-01,98.62634408602153
2015-06-01,82.83513888888888
2015-07-01,75.3266129032258
2015-08-01,64.67338709677418
2015-09-01,63.568749999999994
2015-10-01,93.78763440860214
2015-11-01,129.1340277777778
2015-12-01,164.5752688172043
2016-01-01,79.88978494623656
2016-02-01,53.36997126436782
