Date-Time,SO2
2013-03-01,45.276935483870965
2013-04-01,23.350853333333337
2013-05-01,28.301747311827967
2013-06-01,17.54670666666667
2013-07-01,8.96591612903226
2013-08-01,6.110215053763443
2013-09-01,14.095594444444448
2013-10-01,19.834358064516127
2013-11-01,24.135904444444446
2013-12-01,44.366143010752694
2014-01-01,60.621639784946225
2014-02-01,65.75595238095238
2014-03-01,39.1478494623656
2014-04-01,19.649305555555554
2014-05-01,17.23481182795699
2014-06-01,8.417361111111111
2014-07-01,8.088172043010752
2014-08-01,6.463172043010753
2014-09-01,8.915972222222223
2014-10-01,10.36693548387097
2014-11-01,20.261388888888884
2014-12-01,36.18817204301076
2015-01-01,42.5486559139785
2015-02-01,32.30654761904763
2015-03-01,24.453158602150538
2015-04-01,11.521527777777777
2015-05-01,9.899193548387096
2015-06-01,8.176388888888887
2015-07-01,5.719086021505376
2015-08-01,3.8716397849462365
2015-09-01,5.879861111111112
2015-10-01,7.493279569892475
2015-11-01,15.591666666666669
2015-12-01,23.14180107526882
2016-01-01,22.526881720430108
2016-02-01,16.579741379310345
